,ds,sales,google,meta,meta_untreat,pinterest,year,month,dayofyear,trend,cs,cc,seasonality,meta_adstock,meta_treatment_adstock,google_adstock,meta_treatment_adstock_saturated,meta_adstock_saturated,google_adstock_saturated,intercept,epsilon,venezuela,estonia
0,2021-07-01,7,0.0239,0.945,0.945,0,2021,7,182,0.7782794100389228,0.02578312871731291,0.999667559878556,1.5381760328938034,0.945,0.945,0.0239,0.7543541364296081,0.7543541364296081,0.054677669744260145,1.0,0.01271578831664848,3.3691150209763414,3.3691150209763414
1,2021-07-02,14,0.14595,0.9327000000000001,0.9327000000000001,0,2021,7,183,0.7844051618192529,-0.008595222901298353,0.9999630603893711,1.487051756232109,1.211267959047775,1.211267959047775,0.1473576368508684,0.8975333832365032,0.8975333832365032,0.3062300401152512,1.0,-0.05489870770775656,3.676795755579305,3.676795755579305
2,2021-07-03,12,0.18096666666666664,0.9377,0.9377,0,2021,7,184,0.7904684675329239,-0.0429634153241686,0.9990766461807037,1.4341698462848027,1.2954138426020891,1.2954138426020891,0.18966781009939482,0.9386033288832123,0.9386033288832123,0.3821559831916385,1.0,-0.09050578711904662,3.737806915631129,3.737806915631129
3,2021-07-04,15,0.18867499999999998,0.942175,0.942175,0,2021,7,185,0.7964707926350247,-0.07728082677823876,0.9970093649572564,1.3795928072685264,1.3002854013574239,1.3002854013574239,0.19997541093362015,0.9409253453584515,0.9409253453584515,0.3999578465744107,1.0,-0.01243335761870178,3.814717030583448,3.814717030583448
4,2021-07-05,17,0.19558,0.9275800000000001,0.9275800000000001,0,2021,7,186,0.8024135492523974,-0.11150689551144141,0.9937636601593965,1.3233851469719327,1.2874474913684468,1.2874474913684468,0.2074884450731854,0.9347933164306428,0.9347933164306428,0.4127690342599654,1.0,0.031457154448875556,3.843125627877847,3.843125627877847
5,2021-07-06,15,0.26741666666666664,0.9206833333333333,0.9206833333333333,0,2021,7,187,0.8082980987954316,-0.1456011677350053,0.9893433680751101,1.2656133005101573,1.27664045850579,1.27664045850579,0.27976570375235266,0.9295990178212354,0.9295990178212354,0.5293702702530566,1.0,-0.09193582745331244,3.8081382096714895,3.8081382096714895
6,2021-07-07,6,0.32542857142857146,0.9181285714285714,0.9181285714285714,0,2021,7,188,0.814125754409921,-0.17952334543814305,0.9837537133056714,1.2063455518012924,1.2707743281833965,1.2707743281833965,0.3420389431306141,0.926767050572318,0.926767050572318,0.6210667020000152,1.0,0.15395425741906674,4.119086540301967,4.119086540301967
7,2021-07-08,17,0.4057125,0.9118285714285713,0.9118285714285713,0,2021,7,189,0.8198977832806853,-0.21323333401863315,0.9770013025903793,1.1456519528576194,1.2631171603989428,1.2631171603989428,0.42605560192689057,0.9230571473168924,0.9230571473168924,0.7336499957207062,1.0,0.06381558731968062,4.113246490066774,4.113246490066774
8,2021-07-09,14,0.5046777777777778,0.9161571428571429,0.9161571428571429,0,2021,7,190,0.8256154087976708,-0.24669128967296414,0.9690941169976679,1.0836042409870557,1.265364842833678,1.265364842833678,0.5300045493976397,0.924147715570074,0.924147715570074,0.8578085756075619,1.0,0.0028719038894232923,4.152245724358258,4.152245724358258
9,2021-07-10,8,0.55441,0.9337714285714285,0.9337714285714285,0,2021,7,191,0.8312798125943444,-0.27985766649005384,0.9600415024918151,1.020275754002642,1.283703297510308,1.283703297510308,0.585918689335129,0.9329970641398395,0.9329970641398395,0.9186153546268794,1.0,0.10079286052569827,4.293822968888083,4.293822968888083
